Date,R,D,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-16,48289,49195,906,0.009293832834106109,97484,145452,Sacramento,145452
2022-11-17,48289,49195,906,0.009293832834106109,97484,145452,Sacramento,145452
2022-11-18,48289,49195,906,0.009293832834106109,97484,145452,Sacramento,145452
2022-11-21,61902,61886,16,0.0001292532394093127,123788,145000,Sacramento,145000
2022-11-22,61902,61886,16,0.0001292532394093127,123788,145000,Sacramento,145000
2022-11-23,73100,71532,1568,0.010841307594446596,144632,89000,Sacramento,89000
2022-11-24,73100,71532,1568,0.010841307594446596,144632,89000,Sacramento,89000
2022-11-28,73100,71532,1568,0.010841307594446596,144632,89000,Sacramento,89000
2022-11-29,73100,71532,1568,0.010841307594446596,144632,89000,Sacramento,89000
2022-11-30,82226,80749,1477,0.009062739684000613,162975,12000,Sacramento,12000
2022-12-01,82226,80749,1477,0.009062739684000613,162975,12000,Sacramento,12000
2022-12-02,82226,80749,1477,0.009062739684000613,162975,12000,Sacramento,12000
2022-12-05,83400,82009,1391,0.008409457768319742,165409,2100,Sacramento,2100
2022-12-06,83400,82009,1391,0.008409457768319742,165409,2100,Sacramento,2100
2022-12-07,83768,82385,1383,0.008323653500087269,166153,0,Sacramento,0
