Race,Batch_ID,New_Dem_Prop,New_Total,Votes_Remaining,D,Total Votes Cast
AD-58,13,0.5170603674540682,762.0,8039,73720,147949
CD-40,14,0.4884979702300406,2217.0,10358,166788,373277
CD-49,14,0.46635730858468677,431.0,10178,192513,368169
AD-58,14,0.6037735849056604,159.0,7880,73816,148108
CD-45,14,0.5407279029462738,1154.0,9949,152981,305926
SD-19,14,0.38324091189155884,4869.0,22126,164658,360904
SD-37,14,0.5701559020044543,1796.0,14465,218517,444150
CD-41,14,0.4693333333333333,375.0,13499,165212,340946
CD-47,14,0.5867109634551495,1505.0,12100,175216,341175
CD-13,15,0.4765714285714286,1750.0,31113,88902,179808
CD-21,15,0.6047955932386456,18517.0,14412,94724,181119
SD-19,16,0.3469531525184924,8517.0,13609,167613,369421
CD-9,16,0.4975845410628019,207.0,13017,123656,238340
CD-13,16,0.37092264678471576,1073.0,30040,89300,180881
AD-58,16,0.48412698412698413,630.0,7250,74121,148738
SD-37,16,0.537807606263982,2235.0,12230,219719,446385
CD-47,16,0.5539956803455723,1852.0,10248,176242,343027
SD-5,16,0.4723618090452261,199.0,15134,182113,343670
CD-45,16,0.5203703703703704,1620.0,8329,153824,307546
CD-21,16,0.5578673602080624,6921.0,7491,98585,188040
CD-40,16,0.45533498759305213,2418.0,7940,167889,375695
CD-41,16,0.464859437751004,996.0,12503,165675,341942
CD-49,16,0.3984526112185687,517.0,9661,192719,368686
CD-22,16,0.4417872876022656,1589.0,4696,75912,162811
CD-9,17,0.171875,128.0,12889,123678,238468
CD-47,17,0.538560411311054,3112.0,7136,177918,346139
AD-58,17,0.5029542097488922,1354.0,5896,74802,150092
SD-19,17,0.4312210200927357,1941.0,11668,168450,371362
CD-41,17,0.4322853688029021,1654.0,10849,166390,343596
CD-49,17,0.41491596638655465,952.0,8709,193114,369638
CD-22,17,0.46701846965699206,379.0,4317,76089,163190
CD-13,17,0.5497047720453005,20662.0,9378,100658,201543
CD-40,17,0.47424042272126815,2271.0,5669,168966,377966
SD-37,17,0.5436893203883495,3811.0,8419,221791,450196
CD-45,17,0.5456896551724137,2320.0,6009,155090,309866
CD-9,18,0.5549872122762148,1173.0,11716,124329,239641
AD-58,18,0.5029624753127058,1519.0,4377,75566,151611
CD-21,18,0.34686346863468637,271.0,7220,98679,188311
SD-5,18,0.6327890703098967,3001.0,12133,184012,346671
SD-37,18,0.5504183179216204,2271.0,6148,223041,452467
CD-47,18,0.534219596258001,2031.0,5105,179003,348170
CD-45,18,0.5284052019164955,1461.0,4548,155862,311327
CD-40,18,0.5107296137339056,1398.0,4271,169680,379364
CD-22,18,0.45419103313840153,513.0,3804,76322,163703
CD-13,18,0.3851851851851852,540.0,8838,100866,202083
CD-49,18,0.4204152249134948,578.0,8131,193357,370216
CD-41,18,0.43199233716475094,3132.0,7717,167743,346728
SD-19,18,0.43733850129198965,1548.0,10120,169127,372910
CD-40,19,0.48775292864749736,939.0,3332,170138,380303
CD-9,19,0.375,8.0,11708,124332,239649
CD-47,19,0.557784911717496,1246.0,3859,179698,349416
AD-58,19,0.4898785425101215,1235.0,3142,76171,152846
CD-49,19,0.5166539050535988,5224.0,2907,196056,375440
CD-41,19,0.4685734463276836,2832.0,4885,169070,349560
SD-19,19,0.46370370370370373,2025.0,8095,170066,374935
CD-13,19,0.5588014981273408,1335.0,7503,101612,203418
CD-45,19,0.5308550185873606,1345.0,3203,156576,312672
SD-37,19,0.5560453400503779,1588.0,4560,223924,454055
CD-22,19,0.41445783132530123,415.0,3389,76494,164118
CD-21,19,0.4385026737967914,187.0,7033,98761,188498
CD-49,20,0.44680851063829785,282.0,2625,196182,375722
CD-47,20,0.5291828793774319,1285.0,2574,180378,350701
CD-40,20,0.4212328767123288,876.0,2456,170507,381179
SD-37,20,0.5271105010295127,1457.0,3103,224692,455512
CD-45,20,0.5203336809176226,959.0,2244,157075,313631
CD-13,20,0.49344978165938863,687.0,6816,101951,204105
SD-5,20,0.467906976744186,1075.0,11058,184515,347746
SD-19,20,0.41641204714098645,2291.0,5804,171020,377226
CD-22,20,0.4448838358872961,2023.0,1366,77394,166141
AD-58,20,0.45775862068965517,1160.0,1982,76702,154006
CD-21,20,0.625531914893617,1880.0,5153,99937,190378
CD-9,20,0.4654882154882155,1188.0,10520,124885,240837
CD-41,20,0.44,1800.0,3085,169862,351360
AD-58,21,0.581081081081081,148.0,1834,76788,154154
CD-13,21,0.4993678887484197,791.0,6025,102346,204896
SD-37,21,0.500464252553389,1077.0,2026,225231,456589
SD-19,21,0.3986175115207373,434.0,5370,171193,377660
CD-49,21,0.4521575984990619,533.0,2092,196423,376255
CD-47,21,0.5319148936170213,1034.0,1540,180928,351735
CD-40,21,0.4796747967479675,615.0,1841,170802,381794
CD-41,21,0.42045454545454547,176.0,2909,169936,351536
CD-45,21,0.5191740412979351,678.0,1566,157427,314309
SD-37,22,0.47474747474747475,396.0,1630,225419,456985
CD-45,22,0.5508474576271186,354.0,1212,157622,314663
CD-13,22,0.49261083743842365,203.0,5822,102446,205099
CD-49,22,0.46296296296296297,108.0,1984,196473,376363
CD-41,22,0.45955882352941174,816.0,2093,170311,352352
CD-47,22,0.5032051282051282,312.0,1228,181085,352047
AD-58,22,0.5088967971530249,562.0,1272,77074,154716
CD-21,22,0.325,40.0,5113,99950,190418
SD-5,22,0.4382685686178062,2033.0,9025,185406,349779
CD-40,22,0.3763837638376384,542.0,1299,171006,382336
SD-19,22,0.37336652146857496,3214.0,2156,172393,380874
CD-22,22,0.40625,32.0,1334,77407,166173
CD-9,22,0.47613941018766753,1865.0,8655,125773,242702
