Race,race_id,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-13,0,39613,79310,0.4994704324801412,66496,133556,0.49788852616131063
CD-22,1,26799,56476,0.47452015015227705,49859,102852,0.48476451600357795
CD-27,2,61342,137545,0.4459776800319895,91892,196516,0.4676056911396527
CD-3,3,79188,168338,0.4704107212869346,156761,338199,0.46351704174169645
CD-41,4,78918,161902,0.4874430210868303,112769,236638,0.476546454922709
CD-45,5,76252,164997,0.4621417359103499,103466,217426,0.47586765152281696
CD-47,6,105045,204952,0.5125346422576994,137374,265635,0.5171532365840344
CD-49,7,127206,241904,0.5258532310337986,153541,291735,0.5263029804445816
