Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-22,1,16,18,2022-12-08,26799,56476,0.47452015015227705,0.0,0.0,,49722,102571,0.4847569000984684,22923,46095,0.4972990562967784,49859,102852,0.48476451600357795
CD-22,1,17,19,2022-12-09,26799,56476,0.47452015015227705,137.0,281.0,0.4875444839857651,49859,102852,0.48476451600357795,23060,46376,0.49723995169915475,49859,102852,0.48476451600357795
CD-27,2,0,2,2022-11-15,61342,137545,0.4459776800319895,7211.0,12728.0,0.5665461973601509,68553,150273,0.45618973468287716,7211,12728,0.5665461973601509,91892,196516,0.4676056911396527
CD-27,2,1,3,2022-11-16,61342,137545,0.4459776800319895,3748.0,7463.0,0.5022109071419001,72301,157736,0.4583671451032104,10959,20191,0.5427665791689367,91892,196516,0.4676056911396527
CD-27,2,2,4,2022-11-17,61342,137545,0.4459776800319895,3403.0,7518.0,0.45264698057994146,75704,165254,0.4581069142047999,14362,27709,0.5183153488036378,91892,196516,0.4676056911396527
CD-27,2,3,5,2022-11-18,61342,137545,0.4459776800319895,4910.0,9898.0,0.49605981006263894,80614,175152,0.4602516671234128,19272,37607,0.5124577871141011,91892,196516,0.4676056911396527
CD-27,2,4,6,2022-11-21,61342,137545,0.4459776800319895,10687.0,20207.0,0.5288761320334537,91301,195359,0.46734985334691515,29959,57814,0.5181962846369391,91892,196516,0.4676056911396527
CD-27,2,5,7,2022-11-22,61342,137545,0.4459776800319895,0.0,0.0,,91301,195359,0.46734985334691515,29959,57814,0.5181962846369391,91892,196516,0.4676056911396527
CD-27,2,6,8,2022-11-23,61342,137545,0.4459776800319895,368.0,743.0,0.4952893674293405,91669,196102,0.4674557118234388,30327,58557,0.517905630411394,91892,196516,0.4676056911396527
CD-27,2,7,9,2022-11-24,61342,137545,0.4459776800319895,0.0,0.0,,91669,196102,0.4674557118234388,30327,58557,0.517905630411394,91892,196516,0.4676056911396527
