race, date_called,
CD-9, 11-15-2024,
CD-13, 12-4-2024,
CD-21, 11-15-2024,
CD-22, 11-12-2024,
CD-40, 11-7-2024,
CD-41, 11-13-2024,
CD-45, 11-27-2024,
CD-47, 11-13-2024,
CD-49, 11-12-2024,
SD-5, 11-15-2024,
SD-19, 11-14-2024,
SD-37, 11-25-2024,
